service_id,heading,subheading,lite,standard,advance,enterprise
121,Support & Consultation,Phone Support,active,active,active,active
121,Support & Consultation,Chat Support,active,active,active,active
121,Support & Consultation,Email Support,active,active,active,active
121,Support & Consultation,Monthly Consultation,,2 hour,4 hour,8 hour
121,Support & Consultation,PRP (Performance Review & Planning),Monthly,Monthly,Monthly,Monthly
