KPI,Day,Now
URL Rating (UR),17,44
Domain Rating (DR),1.1,28
Keywords - Top 3,0,13
Keywords - First Page,3,81
Total Keywords,98,777
Backlinks,6.44K,10K
Traffic,98,162
